SAP_ID,LATITUDE,LONGITUDE
I-DL-DLHI-ENB-9853,28.70786667,77.26290278
I-DL-DLHI-ENB-4256,28.70821944,77.26588889
I-DL-DLHI-ENB-3490,28.70824167,77.26079167
I-DL-DLHI-ENB-1441,28.70844167,77.3013
I-DL-DLHI-ENB-3784,28.70858333,77.2574
I-DL-DLHI-ENB-9835,28.70862222,77.25028333
I-DL-DLHI-ENB-3796,28.70873889,77.28392417
I-DL-DLHI-ENB-5155,28.70906944,77.26758083
I-DL-DLHI-ENB-9857,28.70908333,77.27399444
I-DL-DLHI-ENB-6550,28.70911389,77.28864444
I-DL-DLHI-ENB-1380,28.70913333,77.26454444
I-DL-DLHI-ENB-9854,28.70919167,77.25965
I-DL-DLHI-ENB-9452,28.70939444,77.25435278
I-DL-DLHI-ENB-9846,28.70942222,77.25850833
I-DL-DLHI-ENB-0602,28.709475,77.30621389
I-DL-DLHI-ENB-9534,28.70948056,77.27958611
I-DL-DLHI-ENB-9414,28.70998333,77.25229944
I-DL-DLHI-ENB-3802,28.71016667,77.26153611
I-DL-DLHI-ENB-1348,28.71066667,77.28210556
I-DL-DLHI-ENB-8869,28.71092222,77.30408889
I-DL-DLHI-ENB-6541,28.71113333,77.27771389
I-DL-DLHI-ENB-3815,28.71135278,77.272975
I-DL-DLHI-ENB-1379,28.71144167,77.25993889
I-DL-DLHI-ENB-4259,28.71148611,77.25824444
I-DL-DLHI-ENB-9533,28.71168056,77.26277222
I-DL-DLHI-ENB-4261,28.71171111,77.28126944
I-DL-BJUR-ENB-6000,28.71211944,77.30724167
I-DL-DLHI-ENB-3897,28.71215556,77.31861639
I-DL-DLHI-ENB-3699,28.71245833,77.28645556
I-DL-DLHI-ENB-3821,28.71253056,77.25238417
I-DL-DLHI-ENB-9858,28.71278333,77.26088611
